Symbol,CompanyName,MarketCap,Sector,Industry,DividendYield,Beta
IPG,Interpublic Group of Companies Inc,$9.1B,Communication Services,Media,4.41%,+1.0
IPHA,Innate Pharma SA (ADR),$342.0M,Health Care,Biotechnology,--,+0.7
IPHI,Inphi Corporation,$8.5B,Information Technology,Semiconductors & Semiconductor Equipment,--,+1.1
IPI,Intrepid Potash Inc,$332.4M,Materials,Chemicals,--,+2.2
IPIX,Innovation Pharmaceuticals Inc,$68.4M,Health Care,Biotechnology,--,-0.1
IPLB,iPure Labs Inc,$10.0M,Consumer Staples,Personal Products,--,-0.8
IPLDP,Interstate Power and Light Co,$347.8M,Utilities,Electric Utilities,4.89%,+0.1
IPLY,Interplay Entertainment Corp,$2.1M,Communication Services,Entertainment,--,-1.7
IPTK,AS-IP Tech Inc,$21.9M,Information Technology,Software,--,+0.8
IPUB,indiePub Entertainment Inc,$1.0M,Communication Services,Entertainment,--,+0.3
IPWG,"International Power Group, Ltd.",$1.6M,Industrials,Commercial Services & Supplies,--,--
IPWR,Ideal Power Inc,$23.9M,Industrials,Electrical Equipment,--,+1.3
IQ,Beijing Iqiyi Technology Co Ltd - ADR,$14.4B,Communication Services,Entertainment,--,--
IQV,Iqvia Holdings Inc,$34.2B,Health Care,Life Sciences Tools & Services,--,+1.4
IR,Ingersoll Rand Inc,$18.7B,Industrials,Machinery,--,+1.5
IRBL,InRob Tech Ltd,$304.0K,Industrials,Aerospace & Defense,--,+3.6
IRBS,"IR Biosciences Holdings, Inc.",$1.7K,Health Care,Biotechnology,--,--
IRBT,iRobot Corporation,$2.2B,Consumer Discretionary,Household Durables,--,+1.5
IRCP,IRSA Propiedades Comerciales SA (ADR),$293.9M,Real Estate,Real Estate Management & Development,41.47%,+1.3
IRDM,Iridium Communications Inc,$5.3B,Communication Services,Diversified Telecommunication Services,--,+1.3
IRIX,IRIDEX Corporation,$33.5M,Health Care,Health Care Equipment & Supplies,--,+1.3
IRM,Iron Mountain Inc,$8.4B,Real Estate,Equity Real Estate Investment Trusts (REITs),8.63%,+0.9
IRMD,Iradimed Corp,$281.5M,Health Care,Health Care Equipment & Supplies,--,+1.0
IRNC,Ironclad Encryption Corp,$2.3M,Information Technology,Software,--,+1.6
IROQ,IF Bancorp Inc,$64.8M,Financials,Thrifts & Mortgage Finance,1.50%,+0.8
IRS,Irsa Inversiones y Rprsntcins SA (ADR),$254.6M,Real Estate,Real Estate Management & Development,--,+1.1
IRT,Independence Realty Trust Inc,$1.3B,Real Estate,Equity Real Estate Investment Trusts (REITs),3.68%,+0.9
IRTC,Irhythm Technologies Inc,$6.7B,Health Care,Health Care Equipment & Supplies,--,+1.7
IRWD,"Ironwood Pharmaceuticals, Inc.",$1.8B,Health Care,Biotechnology,--,+1.4
ISBA,Isabella Bank Corp,$155.8M,Financials,Banks,5.55%,+0.6
ISBC,Investors Bancorp Inc,$2.7B,Financials,Banks,4.55%,+1.1
ISBL,Ise Blu Equity Corp.,$.0K,Communication Services,Entertainment,--,--
ISCO,International Stem Cell Corp,$3.2M,Health Care,Biotechnology,--,+0.9
ISDR,Issuer Direct Corp,$68.1M,Information Technology,Software,--,+0.9
ISEE,IVERIC bio Inc,$596.5M,Health Care,Biotechnology,--,+1.6
ISGN,Isign Solutions Inc,$1.8M,Information Technology,Software,--,-0.3
ISIG,"Insignia Systems, Inc.",$13.1M,Communication Services,Media,--,+0.4
ISON,Isonics Corporation,$.0K,Industrials,Commercial Services & Supplies,--,--
ISR,"IsoRay, Inc.",$46.7M,Health Care,Biotechnology,--,+1.7
ISRG,"Intuitive Surgical, Inc.",$94.2B,Health Care,Health Care Equipment & Supplies,--,+1.0
ISSC,Innovative Solutions & Support Inc,$115.5M,Industrials,Aerospace & Defense,--,+1.2
ISTR,Investar Holding Corp,$176.5M,Financials,Banks,1.58%,+0.7
IT,Gartner Inc,$14.2B,Information Technology,IT Services,--,+1.6
ITCB,Itau Corpbanca (ADR),$1.8B,Financials,Banks,8.40%,+1.2
ITCC,Inspro Technologies Corp,$214.8K,Information Technology,Software,--,+1.9
ITCI,Intra-Cellular Therapies Inc,$2.5B,Health Care,Pharmaceuticals,--,+1.3
ITEC,Intertech Solutions Inc,$70.9K,Materials,Metals & Mining,--,+3.2
ITEXD,ITEX Corporation,$6.5M,Industrials,Commercial Services & Supplies,5.25%,+0.4
ITGR,Integer Holdings Corp,$2.6B,Health Care,Health Care Equipment & Supplies,--,+1.3
ITHUF,IANTHUS CAPITAL HOLDINGS INC,$36.1M,Health Care,Pharmaceuticals,--,+1.9
ITIC,Investors Title Company,$287.4M,Financials,Insurance,1.18%,+0.9
ITKG,"Integral Technologies, Inc.",$486.5K,Materials,Chemicals,--,-1.5
ITMSF,INTERMAP TECHNOLOGIES CORP,$16.1M,Information Technology,Software,--,+1.7
ITNM,"International Monetary Systems, Ltd.",$2.7M,Industrials,Commercial Services & Supplies,--,--
ITNS,ITonis Inc,$1.5M,Health Care,Pharmaceuticals,--,+0.1
ITP,IT Tech Packaging Inc,$17.1M,Materials,Paper & Forest Products,--,+0.4
ITPC,Intrepid Capital Corp.,$2.6M,Financials,Capital Markets,--,--
ITRM,Iterum Therapeutics PLC,$48.9M,Health Care,Pharmaceuticals,--,--
ITRO,Itronics Inc.,$11.4M,Materials,Chemicals,--,+2.2
ITT,ITT Inc,$6.6B,Industrials,Machinery,0.90%,+1.5
ITW,Illinois Tool Works Inc.,$64.8B,Industrials,Machinery,2.24%,+1.1
IVC,Invacare Corporation,$316.6M,Health Care,Health Care Equipment & Supplies,--,+0.9
IVDA,Iveda Solutions Inc,$14.1M,Information Technology,Software,--,-4.0
IVDN,Innovative Designs Inc,$7.7M,Consumer Discretionary,Leisure Products,--,-0.2
IVFH,Innovative Food Holdings Inc,$11.9M,Consumer Staples,Food & Staples Retailing,--,+0.5
IVR,Invesco Mortgage Capital Inc,$614.9M,Financials,Mortgage Real Estate Investment Trusts (REITs),9.70%,+1.5
IVR-A,Invesco Mortgage Capital Inc,--,Financials,Mortgage Real Estate Investment Trusts (REITs),7.84%,--
IVR-B,Invesco Mortgage Capital Inc,--,Financials,Mortgage Real Estate Investment Trusts (REITs),8.10%,--
IVR-C,Invesco Mortgage Capital Inc,--,Financials,Mortgage Real Estate Investment Trusts (REITs),7.82%,--
IVVI,Montvale Technologies Inc,$.0K,Health Care,Health Care Equipment & Supplies,--,--
IVZ,Invesco Ltd.,$8.0B,Financials,Capital Markets,3.66%,+1.4
IWBB,IWeb Inc,$80.6M,Information Technology,IT Services,--,--
IWSY,Imageware Systems Inc,$11.9M,Information Technology,Software,--,+1.4
IX,ORIX Corporation (ADR),$18.8B,Financials,Diversified Financial Services,4.73%,+1.0
IXEH,IX Energy Holdings Inc,$.0K,Industrials,Electrical Equipment,--,--
IYXI,"Inyx, Inc.",$74.4K,Health Care,Pharmaceuticals,--,+1.2
IZEA,IZEA Worldwide Inc,$91.3M,Communication Services,Interactive Media & Services,--,+3.0
J,Jacobs Engineering Group Inc,$13.9B,Industrials,Construction & Engineering,0.72%,+0.9
JADA,Jadeart Group Inc,$19.6M,Consumer Discretionary,Distributors,--,+3.4
JAGGF,Jaguar Mining Inc (USA),$483.4M,Materials,Metals & Mining,3.65%,+2.1
JAGR,Green Street Capital Corp,$620.7K,Financials,Capital Markets,--,--
JAGX,Jaguar Health Inc,$235.3M,Health Care,Pharmaceuticals,--,+1.9
JAKK,"JAKKS Pacific, Inc.",$25.2M,Consumer Discretionary,Leisure Products,--,+2.8
JALC,John Adams Life Corp.,$775.8K,Financials,Insurance,--,--
JAMGF,JASPER MINING CORP,$616.2K,Materials,Metals & Mining,--,+0.3
JAMN,Jammin Java Corp,$91.7K,Consumer Staples,Food Products,--,--
JAN,Janone Inc,$8.3M,Industrials,Commercial Services & Supplies,--,+2.2
JANL,Janel Corp,$5.2M,Industrials,Air Freight & Logistics,--,-0.3
JAUGF,DEEP-SOUTH RESOURCES INC,$14.1M,Materials,Metals & Mining,--,+2.7
JAZZ,Jazz Pharmaceuticals PLC,$9.0B,Health Care,Pharmaceuticals,--,+1.1
JBGS,JBG SMITH Properties,$4.0B,Real Estate,Equity Real Estate Investment Trusts (REITs),2.98%,+0.9
JBHT,J B Hunt Transport Services Inc,$14.5B,Industrials,Road & Rail,0.80%,+1.0
JBLU,JetBlue Airways Corporation,$4.5B,Industrials,Airlines,--,+1.6
JBSS,"John B. Sanfilippo & Son, Inc.",$916.9M,Consumer Staples,Food Products,0.81%,+0.2
JBT,John Bean Technologies Corp,$3.7B,Industrials,Machinery,0.36%,+1.6
JCDAF,Jacada Ltd.,$33.2M,Information Technology,IT Services,--,+0.1
JCI,Johnson Controls International PLC,$34.2B,Industrials,Building Products,2.25%,+1.1
JCOM,J2 Global Inc,$4.4B,Information Technology,Software,--,+1.0
JCPNQ,Old Copper Company Inc,$44.9M,Consumer Discretionary,Multiline Retail,--,+1.5
JCTCF,Jewett-Cameron Trading Company Ltd,$30.6M,Industrials,Building Products,--,+0.6
JD,JD.Com Inc(ADR),$148.2B,Consumer Discretionary,Internet & Direct Marketing Retail,--,+0.8
JEF,Jefferies Financial Group Inc,$6.4B,Financials,Diversified Financial Services,2.42%,+1.5
JELD,Jeld-Wen Holding Inc,$2.5B,Industrials,Building Products,--,+2.6
JERT,JER Investors Trust Inc.,$93.3K,Financials,Mortgage Real Estate Investment Trusts (REITs),--,-0.9
JFBC,Jeffersonville Bancorp,$78.3M,Financials,Banks,3.20%,+0.4
JFIN,Jiayin Group Inc - ADR,$174.5M,Financials,Consumer Finance,--,--
JFU,9F Inc - ADR,$232.3M,Communication Services,Interactive Media & Services,--,--
JG,Aurora Mobile Ltd - ADR,$307.4M,Information Technology,Software,--,--
JGFCF,JAGUAR FINANCIAL CORP,$2.3M,Financials,Capital Markets,--,+4.7
JGHG,Jinzisheng Holding Group,$287.4K,Information Technology,Software,--,+1.7
JHG,Janus Henderson Group PLC,$5.7B,Financials,Capital Markets,4.59%,+1.4
JHX,James Hardie Industries plc (ADR),$13.1B,Materials,Construction Materials,--,+1.2
JILL,J.Jill Inc,$34.5M,Consumer Discretionary,Specialty Retail,--,+1.5
JJSF,J & J Snack Foods Corp,$2.8B,Consumer Staples,Food Products,1.51%,+0.6
JKHY,"Jack Henry & Associates, Inc.",$12.1B,Information Technology,IT Services,1.08%,+0.5
JKS,"JinkoSolar Holding Co., Ltd (ADR)",$2.9B,Information Technology,Semiconductors & Semiconductor Equipment,--,+1.0
JKSM,Jacksam Corp,$10.5M,Industrials,Machinery,--,--
JLL,Jones Lang LaSalle Inc,$7.4B,Real Estate,Real Estate Management & Development,--,+1.5
JMIA,Jumia Technologies AG - ADR,$2.9B,Consumer Discretionary,Internet & Direct Marketing Retail,--,--
JMIH,Jupiter Marine International HoldingsInc,$283.0K,Consumer Discretionary,Leisure Products,--,--
JMP,JMP Group LLC,$73.5M,Financials,Capital Markets,--,+1.0
JNCE,Jounce Therapeutics Inc,$273.4M,Health Care,Biotechnology,--,+1.3
JNJ,Johnson & Johnson,$411.7B,Health Care,Pharmaceuticals,2.58%,+0.7
JOB,GEE Group Inc,$17.5M,Industrials,Professional Services,--,+2.3
JOBS,"51job, Inc. (ADR)",$4.6B,Industrials,Professional Services,--,+0.8
JOE,St. Joe Co,$2.5B,Real Estate,Real Estate Management & Development,0.67%,+1.2
JOEY,Joey New York Inc,$338.1K,Consumer Staples,Personal Products,--,+0.6
JOUT,Johnson Outdoors Inc.,$1.1B,Consumer Discretionary,Leisure Products,0.75%,+0.9
JP,Jupai Holdings Ltd (ADR),$62.4M,Financials,Capital Markets,--,+1.5
JPEX,JPX Global Inc,$107.0K,Industrials,Commercial Services & Supplies,--,+3.6
JPM,JPMorgan Chase & Co.,$382.9B,Financials,Banks,2.86%,+1.2
JRJC,China Finance Online Co. (ADR),$19.5M,Financials,Capital Markets,--,+1.5
JRJRQ,JRjr33 Inc,$174.9K,Consumer Discretionary,Internet & Direct Marketing Retail,--,+2.6
JRVR,James River Group Holdings Ltd,$1.5B,Financials,Insurance,2.46%,+0.5
JSAIY,J Sainsbury plc (ADR),$6.9B,Consumer Staples,Food & Staples Retailing,5.99%,+0.5
JSDA,Jones Soda Co. ( USA ),$14.8M,Consumer Staples,Beverages,--,+1.1
JSFCF,SISTEMA PJSFC,$3.8B,Communication Services,Wireless Telecommunication Services,0.46%,+1.3
JT,Jianpu Technology Inc - ADR,$59.6M,Financials,Consumer Finance,--,--
JTBK,Jetblack Corp,$8.6M,Health Care,Pharmaceuticals,--,--
JUHL,Juhl Energy Inc,$45.0K,Utilities,Independent Power & Renewable Electricity Producers,--,--
JUVF,Juniata Valley Financial Corp,$89.0M,Financials,Banks,4.97%,+0.3
JVA,"Coffee Holding Co., Inc.",$22.0M,Consumer Staples,Food Products,--,+1.5
JW.A,John Wiley & Sons Inc,$2.2B,Communication Services,Media,3.00%,+0.8
JW.B,WILEY (JOHN) & SONS  -CL A,$412.0M,Communication Services,Media,3.02%,+0.8
JWN,"Nordstrom, Inc.",$4.9B,Consumer Discretionary,Multiline Retail,--,+2.5
JYNT,Joint Corp,$410.6M,Health Care,Health Care Providers & Services,--,+1.1
K,Kellogg Company,$21.3B,Consumer Staples,Food Products,3.71%,+0.6
KAI,Kadant Inc.,$1.6B,Industrials,Machinery,0.70%,+1.4
KALA,Kala Pharmaceuticals Inc,$383.6M,Health Care,Pharmaceuticals,--,+0.4
KALO,Kallo Inc,$45.9M,Health Care,Health Care Technology,--,+5.2
KALU,Kaiser Aluminum Corp.,$1.6B,Materials,Metals & Mining,2.79%,+1.2
KALV,Kalvista Pharmaceuticals Inc,$320.8M,Health Care,Biotechnology,--,+2.0
KALY,Kali Inc,$916.4K,Health Care,Pharmaceuticals,--,--
KAMN,Kaman Corporation,$1.6B,Industrials,Trading Companies & Distributors,1.45%,+1.3
KANP,Kaanapali Land LLC,$45.3M,Real Estate,Real Estate Management & Development,--,-0.0
KAR,KAR Auction Services Inc,$2.4B,Industrials,Commercial Services & Supplies,--,+1.6
KATX,Kat Exploration Inc,$663.6K,Materials,Metals & Mining,--,+0.6
KAYSD,Kaya Holdings Inc,$5.4M,Health Care,Pharmaceuticals,--,+0.2
KB,"KB Financial Group, Inc. (ADR)",$15.6B,Financials,Banks,4.56%,+0.9
KBAL,Kimball International Inc,$441.9M,Industrials,Commercial Services & Supplies,3.04%,+0.9
KBGCF,KING'S BAY RESOURCES CORP,$350.9K,Materials,Metals & Mining,--,+1.4
KBH,KB Home,$3.0B,Consumer Discretionary,Household Durables,1.79%,+1.9
KBLB,Kraig Biocraft Laboratories Inc,$108.5M,Materials,Chemicals,--,+0.2
KBPH,Kyto Technology and Life Science Inc,$11.7M,Financials,Capital Markets,--,--
KBR,"KBR, Inc.",$4.3B,Information Technology,IT Services,1.34%,+1.4
KBRLF,K-BRO LINEN INC,$323.9M,Industrials,Commercial Services & Supplies,3.10%,+1.4
KCLI,Kansas City Life Insurance Co,$377.6M,Financials,Insurance,2.77%,+0.5
KDCE,Kid Castle Educational Corporation,$2.8M,Health Care,Pharmaceuticals,--,--
KDKGF,KLONDIKE GOLD CORP,$23.4M,Materials,Metals & Mining,--,+1.2
KDMN,Kadmon Holdings Inc,$686.9M,Health Care,Biotechnology,--,+1.7
KDP,Keurig Dr Pepper Inc,$44.2B,Consumer Staples,Beverages,1.90%,+0.7
KELYA,"Kelly Services, Inc.",$744.6M,Industrials,Professional Services,--,+1.3
KELYB,KELLY SERVICES INC  -CL A,$68.0M,Industrials,Professional Services,--,+1.3
KEN,Kenon Holdings Ltd,$1.5B,Utilities,Independent Power & Renewable Electricity Producers,4.12%,+1.7
KEP,Korea Electric Power Corporation (ADR),$15.8B,Utilities,Electric Utilities,--,+0.9
KEQU,Kewaunee Scientific Corporation,$32.3M,Health Care,Health Care Equipment & Supplies,--,+0.6
KERN,Akerna Corp,$67.5M,Industrials,Professional Services,--,--
KEWL,Keweenaw Land Association Ltd,$93.2M,Materials,Paper & Forest Products,--,+0.8
KEX,Kirby Corporation,$3.2B,Industrials,Marine,--,+1.4
KEY,KeyCorp,$16.2B,Financials,Banks,4.54%,+1.5
KFFB,Kentucky First Federal Bancorp,$54.4M,Financials,Thrifts & Mortgage Finance,6.06%,+0.5
KFRC,Kforce Inc.,$942.6M,Industrials,Professional Services,1.88%,+1.5
KFS,Kingsway Financial Services Inc,$103.5M,Financials,Insurance,--,-0.3
KFY,Korn Ferry,$2.3B,Industrials,Professional Services,0.94%,+1.6
KGC,Kinross Gold Corporation (USA),$10.0B,Materials,Metals & Mining,0.75%,+1.1
KGET,Calipharms Inc,$1.3M,Industrials,Machinery,--,--
KGHI,Kaiser Group Holdings Inc,$2.9M,Industrials,Aerospace & Defense,--,-0.0
KGHZF,PANGOLIN DIAMONDS CORP,$3.7M,Materials,Metals & Mining,--,+0.7
KHC,Kraft Heinz Co,$40.9B,Consumer Staples,Food Products,4.67%,+1.1
KHRIF,CYPHERPUNK HOLDINGS,$15.0M,Financials,Capital Markets,--,+1.5
KHTRF,KNIGHT THERAPEUTICS INC,$546.3M,Health Care,Pharmaceuticals,--,+0.7
KIDBQ,Kid Brands Inc,$53.2K,Consumer Discretionary,Household Durables,--,-0.3
KIDS,Orthopediatrics Corp,$771.8M,Health Care,Health Care Equipment & Supplies,--,--
KIM,Kimco Realty Corp,$6.3B,Real Estate,Equity Real Estate Investment Trusts (REITs),4.47%,+1.5
KIN,Kindred Biosciences Inc,$177.5M,Health Care,Biotechnology,--,+1.2
KINS,Kingstone Companies Inc,$70.9M,Financials,Insurance,2.46%,+0.9
KIRK,"Kirkland's, Inc.",$238.2M,Consumer Discretionary,Specialty Retail,--,+2.1
KISB,Kish Bancorp Inc,$73.2M,Financials,Banks,3.82%,+0.1
KIWB,Kiwibox.com Inc,$344.3K,Communication Services,Interactive Media & Services,--,+0.8
KKPNY,Koninklijke KPN N.V. (ADR),$13.3B,Communication Services,Diversified Telecommunication Services,4.43%,+0.4
KKR,KKR & Co Inc,$33.9B,Financials,Capital Markets,1.36%,+1.4
KKR-A,KKR & Co Inc,--,Financials,Capital Markets,6.38%,--
KKR-B,KKR & Co Inc,--,Financials,Capital Markets,6.04%,--
KKR-C,KKR & Co Inc,--,Financials,Capital Markets,5.07%,--
KLAC,KLA Corp,$40.7B,Information Technology,Semiconductors & Semiconductor Equipment,1.38%,+1.3
KLBAY,Klabin SA (ADR),$4.7B,Materials,Containers & Packaging,--,--
KLDO,Kaleido Biosciences Inc,$369.9M,Health Care,Pharmaceuticals,--,--
KLIB,Killbuck Bancshares Inc,$110.5M,Financials,Banks,1.94%,--
KLIC,Kulicke and Soffa Industries Inc.,$2.0B,Information Technology,Semiconductors & Semiconductor Equipment,1.73%,+1.1
KLR,Kaleyra Inc,$267.7M,Information Technology,Software,--,--
KLSVF,KLONDIKE SILVER CORP,$44.4M,Materials,Metals & Mining,--,+2.2
KMB,Kimberly Clark Corp,$45.2B,Consumer Staples,Household Products,3.21%,+0.5
KMGLF,ASIAMET RESOURCES LTD,$74.0M,Materials,Metals & Mining,--,+3.1
KMPHD,KemPharm Inc,$45.8M,Health Care,Pharmaceuticals,--,+3.1
KMPR,Kemper Corp,$5.1B,Financials,Insurance,1.58%,+0.8
KMT,Kennametal Inc.,$3.1B,Industrials,Machinery,2.27%,+2.1
KMTUY,Komatsu Ltd (ADR),$26.2B,Industrials,Machinery,1.96%,+1.4
KMX,"CarMax, Inc",$15.3B,Consumer Discretionary,Specialty Retail,--,+1.7
KNBIF,KANE BIOTECH INC,$11.4M,Health Care,Biotechnology,--,+0.0
KNBWY,Kirin Holdings Co Ltd (ADR),$19.2B,Consumer Staples,Beverages,--,+0.5
KNDI,Kandi Technologies Group Inc,$588.3M,Consumer Discretionary,Auto Components,--,+2.2
KNL,Knoll Inc,$725.3M,Industrials,Commercial Services & Supplies,1.74%,+2.0
KNMCY,Konami Holdings Corp (ADR),$7.5B,Communication Services,Entertainment,0.50%,+0.8
KNOS,Kronos Advanced Technologies Inc.,$39.0M,Industrials,Machinery,--,-3.7
KNSA,Kiniksa Pharmaceuticals Ltd,$1.2B,Health Care,Biotechnology,--,--
KNSL,Kinsale Capital Group Inc,$4.6B,Financials,Insurance,0.18%,+0.8
KNX,Knight-Swift Transportation Holdings Inc,$7.1B,Industrials,Road & Rail,0.78%,+1.3
KO,Coca-Cola Co,$224.6B,Consumer Staples,Beverages,3.11%,+0.6
KOAN,Resonate Blends Inc,$3.3M,Health Care,Pharmaceuticals,--,+0.2
KOD,Kodiak Sciences Inc,$7.1B,Health Care,Biotechnology,--,--
KOF,Coca-Cola Femsa SAB de CV (ADR),$2.4B,Consumer Staples,Beverages,4.75%,+0.9
KOLR,"Kolorfusion International, Inc.",$.0K,Industrials,Commercial Services & Supplies,--,--
KOOYF,KOOTENAY SILVER INC,$100.2M,Materials,Metals & Mining,--,+1.2
KOP,Koppers Holdings Inc.,$637.4M,Materials,Chemicals,--,+2.2
KOPN,Kopin Corporation,$232.2M,Information Technology,Semiconductors & Semiconductor Equipment,--,+2.4
KOSK,One Step Vending Corp,$1.2M,Industrials,Professional Services,--,+3.3
KOSS,Koss Corporation,$22.4M,Consumer Discretionary,Household Durables,--,+1.3
KPTI,Karyopharm Therapeutics Inc,$1.3B,Health Care,Biotechnology,--,+0.6
KR,Kroger Co,$24.4B,Consumer Staples,Food & Staples Retailing,2.24%,+0.3
KRA,Kraton Corp,$962.9M,Materials,Chemicals,--,+2.3
KRC,Kilroy Realty Corp,$6.4B,Real Estate,Equity Real Estate Investment Trusts (REITs),3.62%,+0.9
KRED,Konared Corp,$1.5M,Consumer Staples,Food Products,--,+0.1
KREF,KKR Real Estate Finance Trust Inc,$974.7M,Financials,Mortgage Real Estate Investment Trusts (REITs),9.86%,+0.7
KRG,Kite Realty Group Trust,$1.2B,Real Estate,Equity Real Estate Investment Trusts (REITs),4.19%,+1.5
KRKR,36Kr Holdings Inc - ADR,$131.2M,Communication Services,Interactive Media & Services,--,--
KRLTF,KARNALYTE RESOURCES INC,$8.8M,Materials,Chemicals,--,+2.2
KRMD,"Repro-Med Systems, Inc.",$249.2M,Health Care,Health Care Equipment & Supplies,--,+0.2
KRNT,Kornit Digital Ltd,$3.7B,Industrials,Machinery,--,+1.8
KRNY,Kearny Financial Corp.,$947.0M,Financials,Thrifts & Mortgage Finance,3.07%,+0.8
KRO,"Kronos Worldwide, Inc.",$1.8B,Materials,Chemicals,4.88%,+1.2
KRTX,Karuna Therapeutics Inc,$2.7B,Health Care,Biotechnology,--,--
KRYS,Krystal Biotech Inc,$1.2B,Health Care,Biotechnology,--,--
KSBI,Ks Bancorp Inc,$32.9M,Financials,Thrifts & Mortgage Finance,1.51%,+0.1
KSHB,KushCo Holdings Inc,$113.6M,Industrials,Trading Companies & Distributors,--,+1.6
KSPN,Kaspien Holdings Inc,$58.5M,Consumer Discretionary,Specialty Retail,--,+0.6
KSS,Kohl's Corporation,$6.2B,Consumer Discretionary,Multiline Retail,--,+2.2
KSU,Kansas City Southern,$19.1B,Industrials,Road & Rail,0.88%,+1.0
KSU-,Kansas City Southern,--,Industrials,Road & Rail,2.78%,--
KT,KT Corp (ADR),$5.4B,Communication Services,Diversified Telecommunication Services,4.06%,+0.9
KTEL,KonaTel Inc,$16.3M,Communication Services,Wireless Telecommunication Services,--,--
KTHN,Katahdin Bankshares Corp,$61.8M,Financials,Banks,2.59%,+0.6
KTOS,"Kratos Defense & Security Solutions, Inc",$3.4B,Industrials,Aerospace & Defense,--,+1.0
KTRA,Kintara Therapeutics Inc,$34.5M,Health Care,Biotechnology,--,+1.6
KTYB,"Kentucky Bancshares, Inc.",$123.1M,Financials,Banks,3.48%,+0.5
KUBTY,Kubota Corp (ADR),$25.8B,Industrials,Machinery,--,+1.0
KULR,KULR Technology Group Inc,$122.0M,Industrials,Electrical Equipment,--,--
KURA,Kura Oncology Inc,$2.2B,Health Care,Biotechnology,--,+1.9
KVIL,Kidville Inc,$4.5M,Consumer Discretionary,Diversified Consumer Services,--,--
KW,Kennedy-Wilson Holdings Inc,$2.5B,Real Estate,Real Estate Management & Development,5.03%,+1.2
KWBT,Kiwa Bio-Tech Products Group Corporation,$1.5M,Health Care,Biotechnology,--,+3.8
KWGBF,KWG Resources Inc,$3.3M,Materials,Metals & Mining,--,+0.4
KWHIY,Kawasaki Heavy Industries Ltd (ADR),$3.7B,Industrials,Machinery,--,+1.3
KWR,Quaker Chemical Corp,$4.5B,Materials,Chemicals,0.64%,+1.5
KXIN,Kaixin Auto Holdings,$234.6M,Consumer Discretionary,Specialty Retail,--,--
KXPLF,BAYHORSE SILVER INC,$13.3M,Materials,Metals & Mining,--,+1.4
KXSCF,KINAXIS INC,$3.8B,Information Technology,Software,--,+0.8
KZIA,Kazia Therapeutics Ltd (ADR),$121.3M,Health Care,Biotechnology,--,+2.8
KZR,Kezar Life Sciences Inc,$245.7M,Health Care,Biotechnology,--,--
L,Loews Corporation,$12.4B,Financials,Insurance,0.56%,+0.9
LAACZ,Laa Co Ltd A California LP,$430.0M,Real Estate,Real Estate Management & Development,3.85%,+0.5
LAD,Lithia Motors Inc,$7.7B,Consumer Discretionary,Specialty Retail,0.44%,+1.8
LADR,Ladder Capital Corp,$1.1B,Financials,Mortgage Real Estate Investment Trusts (REITs),8.47%,+2.4
LAIX,LAIX Inc,$72.6M,Consumer Discretionary,Diversified Consumer Services,--,--
LAMR,Lamar Advertising Co,$8.4B,Real Estate,Equity Real Estate Investment Trusts (REITs),2.49%,+1.5
LANC,Lancaster Colony Corp.,$4.9B,Consumer Staples,Food Products,1.69%,+0.2
LAND,Gladstone Land Corp,$345.0M,Real Estate,Equity Real Estate Investment Trusts (REITs),3.77%,+0.7
LANDO,Gladstone Land Corp,--,Real Estate,Equity Real Estate Investment Trusts (REITs),0.50%,--
LANDP,Gladstone Land Corp,--,Real Estate,Equity Real Estate Investment Trusts (REITs),6.05%,--
LARK,Landmark Bancorp Inc,$107.9M,Financials,Banks,3.28%,+0.5
LASLY,Lentuo International Inc (ADR),$91.2K,Consumer Discretionary,Specialty Retail,--,--
LATF,Latteno Food Corp,$913.7K,Consumer Staples,Food Products,--,--
LAUR,Laureate Education Inc,$3.0B,Consumer Discretionary,Diversified Consumer Services,--,+0.8
LAWS,"Lawson Products, Inc.",$456.6M,Industrials,Trading Companies & Distributors,--,+1.1
LAXAF,Laxai Pharma Ltd.,$808.1K,Health Care,Life Sciences Tools & Services,--,+3.0
LAZ,Lazard Ltd,$4.8B,Financials,Capital Markets,4.51%,+1.6
LAZY,Lazydays Holdings Inc,$166.2M,Consumer Discretionary,Specialty Retail,--,--
LB,L Brands Inc,$11.3B,Consumer Discretionary,Specialty Retail,--,+1.7
LBAI,"Lakeland Bancorp, Inc.",$646.0M,Financials,Banks,3.96%,+1.0
LBAS,Location Based Technologies Inc,$721.6K,Consumer Discretionary,Household Durables,--,+2.7
LBC,Luther Burbank Corp,$515.2M,Financials,Thrifts & Mortgage Finance,2.37%,--
LBCC,Long Blockchain Corp,$6.4M,Consumer Staples,Beverages,--,+0.6
LBRDA,Liberty Broadband Corp,$4.0B,Communication Services,Media,--,+1.1
LBRDB,LIBERTY BROADBAND CORP,$375.3M,Communication Services,Media,--,+1.1
LBSR,Liberty Star Uranium & Metals Corp.,$14.4M,Materials,Metals & Mining,--,+2.0
LBTYA,Liberty Global PLC,$4.5B,Communication Services,Media,--,+1.3
LBTYB,LIBERTY GLOBAL PLC,$312.8M,Communication Services,Media,--,+1.3
LBTYK,LIBERTY GLOBAL PLC,$9.5B,Communication Services,Media,--,+1.3
LBUY,Leafbuyer Technologies Inc,$11.6M,Communication Services,Interactive Media & Services,--,+3.2
LC,LendingClub Corp,$744.4M,Financials,Consumer Finance,--,+1.6
